 pork, sandwich bags, lunch meat, all- purpose, flour, soda, butter, vegetables, beef, aluminum foil, all- purpose, dinner rolls, shampoo, all- purpose
 poultry, soda, milk, milk, spaghetti sauce, laundry detergent, fruits, cereals, pasta, vegetables, pasta, ketchup, tortillas, 
 shampoo, toilet paper, all- purpose, vegetables, cereals, ,,,,,,,,
 pasta, sandwich bags, individual meals, waffles, ,,,,,,,,,
 dishwashing liquid/detergent, individual meals, individual meals, soap, sandwich loaves, spaghetti sauce, pasta, pork, poultry, shampoo, spaghetti sauce, lunch meat, coffee/tea, sandwich loaves
 butter, toilet paper, laundry detergent, sugar, sandwich bags, pasta, beef, spaghetti sauce, vegetables, ice cream, ketchup, cheeses, vegetables, fruits
 poultry, fruits, individual meals, cereals, pork, laundry detergent, tortillas, beef, soda, ketchup, vegetables, soap, butter, pork
 cheeses, soap, aluminum foil, mixes, pork, soap, pasta, ,,,,,,
 eggs, pork, eggs, flour, vegetables, vegetables, flour, juice, cheeses, milk, spaghetti sauce, juice, lunch meat, tortillas
 ice cream, yogurt, lunch meat, ketchup, butter, sandwich loaves, individual meals, vegetables, soap, vegetables, dishwashing liquid/detergent, spaghetti sauce, milk, dinner rolls
 all- purpose, aluminum foil, paper towels, vegetables, shampoo, sandwich loaves, lunch meat, sandwich bags, sandwich loaves, eggs, hand soap, shampoo, milk, bagels
 bagels, vegetables, waffles, dinner rolls, mixes, coffee/tea, coffee/tea, individual meals, yogurt, dishwashing liquid/detergent, waffles, waffles, pasta, eggs
 shampoo, juice, paper towels, pork, dinner rolls, pasta, milk, pasta, toilet paper, butter, tortillas, coffee/tea, pasta, sugar
 laundry detergent, ice cream, ketchup, vegetables, individual meals, bagels, dishwashing liquid/detergent, soda, hand soap, soap, cereals, spaghetti sauce, sandwich bags, beef
 vegetables, sandwich bags, shampoo, bagels, toilet paper, flour, tortillas, juice, vegetables, toilet paper, aluminum foil, toilet paper, ice cream, dishwashing liquid/detergent
 ketchup, mixes, ketchup, sandwich loaves, individual meals, individual meals, sandwich loaves, butter, coffee/tea, vegetables, vegetables, individual meals, individual meals, sugar
 hand soap, shampoo, aluminum foil, poultry, sandwich loaves, coffee/tea, aluminum foil, yogurt, beef, bagels, ice cream, aluminum foil, fruits, ketchup
 shampoo, cereals, pork, butter, dinner rolls, sandwich bags, milk, shampoo, soda, hand soap, flour, milk, beef, pork
 coffee/tea, ice cream, lunch meat, aluminum foil, juice, soap, all- purpose, sandwich loaves, coffee/tea, sandwich bags, yogurt, sandwich loaves, pork, pork
 pork, fruits, bagels, soda, ice cream, vegetables, spaghetti sauce, individual meals, all- purpose, waffles, fruits, fruits, vegetables, shampoo
 cheeses, paper towels, fruits, yogurt, juice, all- purpose, laundry detergent, toilet paper, yogurt, vegetables, fruits, spaghetti sauce, ,
 pasta, vegetables, soap, pork, paper towels, hand soap, lunch meat, laundry detergent, sandwich loaves, dishwashing liquid/detergent, sandwich bags, bagels, bagels, ice cream
 eggs, soda, pork, sandwich bags, beef, fruits, sandwich bags, poultry, flour, cereals, paper towels, fruits, mixes, bagels
 shampoo, cheeses, sugar, ketchup, ,,,,,,,,,
 hand soap, sugar, waffles, coffee/tea, sandwich bags, coffee/tea, spaghetti sauce, ice cream, poultry, soap, ketchup, dishwashing liquid/detergent, ice cream, poultry
 poultry, sugar, ice cream, vegetables, vegetables, juice, paper towels, lunch meat, vegetables, ,,,,
 yogurt, aluminum foil, soda, paper towels, beef, laundry detergent, vegetables, ice cream, eggs, fruits, laundry detergent, poultry, ,
 poultry, milk, laundry detergent, toilet paper, vegetables, cheeses, dishwashing liquid/detergent, pasta, cereals, paper towels, individual meals, laundry detergent, toilet paper, eggs
 spaghetti sauce, hand soap, spaghetti sauce, beef, shampoo, sandwich bags, ,,,,,,,
 waffles, yogurt, sugar, toilet paper, vegetables, juice, sandwich loaves, waffles, cereals, mixes, butter, sandwich loaves, milk, laundry detergent
 aluminum foil, ice cream, mixes, ketchup, soda, lunch meat, ketchup, soap, beef, dishwashing liquid/detergent, ice cream, ice cream, bagels, yogurt
 shampoo, individual meals, vegetables, bagels, pork, spaghetti sauce, fruits, dishwashing liquid/detergent, pasta, ,,,,
 shampoo, milk, spaghetti sauce, waffles, ice cream, all- purpose, ketchup, fruits, bagels, all- purpose, lunch meat, milk, yogurt, beef
 poultry, lunch meat, laundry detergent, juice, beef, sandwich loaves, aluminum foil, spaghetti sauce, mixes, sandwich bags, pork, milk, laundry detergent, soda
 flour, flour, ketchup, cheeses, hand soap, mixes, hand soap, pork, pasta, ,,,,
 ice cream, poultry, soda, mixes, aluminum foil, bagels, vegetables, sugar, sandwich loaves, milk, tortillas, toilet paper, spaghetti sauce, coffee/tea
 ice cream, cereals, waffles, waffles, individual meals, vegetables, eggs, dishwashing liquid/detergent, sugar, laundry detergent, bagels, vegetables, spaghetti sauce, pasta
 coffee/tea, vegetables, juice, aluminum foil, spaghetti sauce, fruits, shampoo, lunch meat, mixes, pork, aluminum foil, vegetables, individual meals, paper towels
 paper towels, bagels, butter, toilet paper, soap, sandwich bags, juice, ice cream, vegetables, sandwich loaves, toilet paper, fruits, pork, waffles
 dinner rolls, individual meals, sandwich loaves, bagels, juice, ,,,,,,,,
 dinner rolls, fruits, yogurt, fruits, cereals, all- purpose, coffee/tea, shampoo, shampoo, beef, vegetables, coffee/tea, poultry, flour
 mixes, mixes, spaghetti sauce, lunch meat, pork, juice, flour, hand soap, yogurt, cheeses, dishwashing liquid/detergent, eggs, dinner rolls, ice cream
 milk, mixes, soap, soda, spaghetti sauce, sandwich bags, ,,,,,,,
 laundry detergent, beef, pasta, soda, vegetables, poultry, lunch meat, juice, beef, soda, yogurt, sugar, yogurt, dishwashing liquid/detergent
 soda, cheeses, vegetables, sandwich bags, beef, dinner rolls, spaghetti sauce, shampoo, laundry detergent, cereals, all- purpose, dishwashing liquid/detergent, pasta, flour
 aluminum foil, soda, bagels, dishwashing liquid/detergent, coffee/tea, beef, butter, butter, dishwashing liquid/detergent, paper towels, dinner rolls, dinner rolls, cheeses, yogurt
 laundry detergent, beef, sandwich bags, soap, milk, paper towels, sugar, shampoo, vegetables, ice cream, aluminum foil, vegetables, sandwich loaves, 
 shampoo, cheeses, cheeses, paper towels, mixes, spaghetti sauce, lunch meat, individual meals, tortillas, toilet paper, beef, pork, cheeses, sandwich bags
 butter, bagels, mixes, mixes, hand soap, sandwich bags, spaghetti sauce, sugar, cheeses, bagels, hand soap, mixes, bagels, sandwich loaves
 aluminum foil, pork, sugar, vegetables, all- purpose, individual meals, beef, sandwich bags, lunch meat, waffles, pasta, beef, laundry detergent, paper towels
 juice, ice cream, lunch meat, toilet paper, shampoo, ketchup, lunch meat, vegetables, poultry, yogurt, sandwich loaves, pork, spaghetti sauce, ketchup
 paper towels, milk, flour, flour, beef, juice, hand soap, individual meals, lunch meat, pasta, flour, lunch meat, spaghetti sauce, soda
 butter, cheeses, aluminum foil, yogurt, shampoo, hand soap, hand soap, aluminum foil, sugar, waffles, pasta, vegetables, bagels, aluminum foil
 beef, toilet paper, sugar, fruits, shampoo, pork, cheeses, fruits, poultry, poultry, vegetables, dishwashing liquid/detergent, poultry, flour
 paper towels, milk, cheeses, eggs, dinner rolls, sandwich loaves, toilet paper, soap, milk, lunch meat, dinner rolls, shampoo, juice, ice cream
 laundry detergent, pasta, poultry, laundry detergent, shampoo, toilet paper, yogurt, waffles, spaghetti sauce, eggs, lunch meat, sandwich loaves, coffee/tea, beef
 coffee/tea, aluminum foil, mixes, vegetables, dinner rolls, waffles, ,,,,,,,
 aluminum foil, coffee/tea, sandwich loaves, sandwich loaves, shampoo, shampoo, laundry detergent, pork, dishwashing liquid/detergent, milk, pasta, coffee/tea, juice, poultry
 flour, dinner rolls, tortillas, hand soap, soda, laundry detergent, lunch meat, soap, bagels, tortillas, yogurt, tortillas, pasta, fruits
 dishwashing liquid/detergent, vegetables, sugar, butter, fruits, sugar, juice, waffles, toilet paper, pasta, ,,,
 vegetables, poultry, juice, laundry detergent, vegetables, paper towels, ,,,,,,,
 sandwich loaves, pork, spaghetti sauce, sandwich bags, butter, bagels, dishwashing liquid/detergent, poultry, paper towels, toilet paper, all- purpose, hand soap, fruits, sandwich bags
 ice cream, eggs, cereals, lunch meat, pasta, butter, poultry, poultry, yogurt, ,,,,
 coffee/tea, juice, ice cream, bagels, yogurt, milk, vegetables, butter, ice cream, cheeses, toilet paper, sandwich bags, juice, spaghetti sauce
 flour, fruits, soap, individual meals, hand soap, mixes, pasta, pork, all- purpose, vegetables, toilet paper, ,,
 lunch meat, butter, dishwashing liquid/detergent, mixes, pasta, shampoo, sandwich loaves, lunch meat, spaghetti sauce, coffee/tea, soap, waffles, shampoo, waffles
 soda, pork, ice cream, shampoo, bagels, poultry, ,,,,,,,
 eggs, individual meals, paper towels, toilet paper, ,,,,,,,,,
 flour, sugar, soap, soap, soda, bagels, fruits, vegetables, vegetables, all- purpose, bagels, soda, hand soap, mixes
 beef, vegetables, individual meals, beef, spaghetti sauce, butter, dishwashing liquid/detergent, pasta, vegetables, coffee/tea, ,,,
 poultry, mixes, yogurt, lunch meat, tortillas, yogurt, pasta, pasta, toilet paper, tortillas, butter, poultry, pork, dishwashing liquid/detergent
 all- purpose, laundry detergent, yogurt, dishwashing liquid/detergent, individual meals, laundry detergent, ,,,,,,,
 milk, pork, waffles, paper towels, dinner rolls, ,,,,,,,,
 yogurt, ice cream, poultry, aluminum foil, pasta, paper towels, poultry, spaghetti sauce, vegetables, soda, laundry detergent, flour, beef, dishwashing liquid/detergent
 vegetables, soda, hand soap, butter, ,,,,,,,,,
 pork, bagels, aluminum foil, soap, flour, sandwich bags, paper towels, cereals, ice cream, juice, spaghetti sauce, paper towels, cheeses, coffee/tea
 poultry, ice cream, yogurt, dinner rolls, vegetables, butter, ketchup, milk, sandwich loaves, soda, hand soap, bagels, mixes, toilet paper
 butter, tortillas, shampoo, soap, laundry detergent, pasta, hand soap, flour, sugar, toilet paper, dishwashing liquid/detergent, mixes, fruits, ketchup
 hand soap, soda, vegetables, eggs, butter, pork, juice, sugar, aluminum foil, juice, all- purpose, sandwich loaves, pork, eggs
 all- purpose, dinner rolls, aluminum foil, dinner rolls, tortillas, tortillas, fruits, spaghetti sauce, coffee/tea, fruits, lunch meat, pasta, ketchup, 
 individual meals, poultry, eggs, juice, ketchup, coffee/tea, vegetables, vegetables, dishwashing liquid/detergent, tortillas, all- purpose, sugar, vegetables, toilet paper
 vegetables, bagels, paper towels, mixes, ice cream, milk, toilet paper, paper towels, soap, yogurt, dishwashing liquid/detergent, shampoo, beef, sandwich loaves
 sandwich loaves, vegetables, pasta, butter, sandwich loaves, toilet paper, individual meals, all- purpose, dishwashing liquid/detergent, individual meals, individual meals, dishwashing liquid/detergent, cheeses, individual meals
 soda, sugar, aluminum foil, waffles, individual meals, individual meals, toilet paper, sandwich bags, tortillas, waffles, lunch meat, toilet paper, sandwich bags, dishwashing liquid/detergent
 cereals, vegetables, sandwich loaves, paper towels, pasta, pork, shampoo, dishwashing liquid/detergent, bagels, soap, bagels, milk, waffles, individual meals
 vegetables, laundry detergent, dishwashing liquid/detergent, lunch meat, flour, individual meals, ,,,,,,,
 flour, fruits, vegetables, spaghetti sauce, soda, spaghetti sauce, aluminum foil, yogurt, soda, soda, spaghetti sauce, pork, waffles, ketchup
 dishwashing liquid/detergent, cheeses, cheeses, cereals, aluminum foil, ketchup, poultry, mixes, yogurt, paper towels, vegetables, ice cream, aluminum foil, flour
 spaghetti sauce, toilet paper, sandwich bags, aluminum foil, sugar, cheeses, poultry, yogurt, poultry, poultry, cheeses, juice, soap, aluminum foil
 sandwich bags, soda, yogurt, cheeses, aluminum foil, pork, milk, ice cream, beef, vegetables, cereals, vegetables, ,
 cereals, tortillas, ice cream, hand soap, waffles, ketchup, laundry detergent, coffee/tea, ,,,,,
 soda, pasta, soda, flour, soda, ,,,,,,,,
 vegetables, paper towels, coffee/tea, sandwich bags, sandwich loaves, mixes, sandwich bags, sandwich bags, bagels, vegetables, sandwich loaves, butter, poultry, milk
 ketchup, ice cream, flour, vegetables, yogurt, waffles, sandwich bags, ,,,,,,
 sugar, hand soap, lunch meat, spaghetti sauce, dishwashing liquid/detergent, yogurt, bagels, fruits, lunch meat, lunch meat, eggs, cereals, toilet paper, flour
 juice, lunch meat, cheeses, sandwich loaves, vegetables, hand soap, fruits, pork, vegetables, soda, waffles, waffles, aluminum foil, aluminum foil
 tortillas, flour, shampoo, mixes, cheeses, sugar, flour, vegetables, laundry detergent, eggs, paper towels, hand soap, vegetables, lunch meat
 pork, bagels, hand soap, eggs, mixes, vegetables, tortillas, coffee/tea, bagels, lunch meat, toilet paper, bagels, pasta, sandwich bags
 sandwich bags, juice, juice, milk, vegetables, yogurt, butter, ice cream, all- purpose, butter, yogurt, mixes, aluminum foil, hand soap
 tortillas, hand soap, paper towels, dishwashing liquid/detergent, soda, pasta, cheeses, individual meals, aluminum foil, pork, sugar, butter, ice cream, waffles
 bagels, eggs, coffee/tea, paper towels, juice, sandwich loaves, mixes, individual meals, waffles, sugar, all- purpose, tortillas, shampoo, sandwich loaves
 pork, yogurt, juice, pork, sugar, ,,,,,,,,
 shampoo, dinner rolls, flour, vegetables, laundry detergent, paper towels, ice cream, paper towels, dishwashing liquid/detergent, sandwich loaves, laundry detergent, ,,
 sandwich bags, pasta, coffee/tea, mixes, butter, spaghetti sauce, aluminum foil, soda, sandwich loaves, beef, dinner rolls, bagels, fruits, butter
 juice, sandwich loaves, milk, shampoo, sandwich loaves, coffee/tea, eggs, ,,,,,,
 toilet paper, butter, coffee/tea, juice, pork, waffles, poultry, aluminum foil, beef, laundry detergent, yogurt, ketchup, cereals, spaghetti sauce
 eggs, dinner rolls, dishwashing liquid/detergent, pasta, soap, butter, sugar, lunch meat, pasta, dinner rolls, aluminum foil, mixes, juice, pasta
 toilet paper, hand soap, mixes, paper towels, mixes, cheeses, tortillas, spaghetti sauce, lunch meat, individual meals, cereals, tortillas, all- purpose, paper towels
 paper towels, pork, butter, vegetables, vegetables, tortillas, ketchup, lunch meat, vegetables, vegetables, lunch meat, sugar, mixes, pasta
 soap, yogurt, juice, mixes, sandwich bags, bagels, shampoo, sandwich loaves, butter, vegetables, shampoo, beef, ketchup, dinner rolls
 spaghetti sauce, eggs, eggs, cereals, ketchup, mixes, paper towels, soda, paper towels, mixes, vegetables, vegetables, hand soap, juice
 individual meals, hand soap, butter, all- purpose, butter, vegetables, aluminum foil, laundry detergent, cheeses, flour, individual meals, dinner rolls, dishwashing liquid/detergent, beef
 fruits, yogurt, pasta, waffles, juice, tortillas, ice cream, pork, hand soap, hand soap, eggs, paper towels, toilet paper, coffee/tea
 ketchup, fruits, sandwich bags, soap, cereals, waffles, dinner rolls, sandwich loaves, all- purpose, dishwashing liquid/detergent, pasta, coffee/tea, toilet paper, vegetables
 spaghetti sauce, pasta, waffles, soda, eggs, spaghetti sauce, ketchup, sugar, ketchup, individual meals, cheeses, cheeses, sugar, sandwich bags
 individual meals, bagels, soda, butter, coffee/tea, hand soap, cereals, laundry detergent, juice, aluminum foil, vegetables, dinner rolls, cheeses, individual meals
